Herd of Deer in the Woods,"5"" x 7""",2019,Acrylic,90,Animals,,,,,
Nabraska Cows 2,"5"" x 7""",2019,Acrylic,90,Animals,,,,,
Red and Blue Cows,"5"" x 7""",2019,Acrylic,90,Animals,,,,,
Squirrel Eating an Apple,"5"" x 7""",2019,Acrylic,90,Animals,,,,,
Birds on the Edge of a Brush Pile,"8"" x 10""",2019,Acrylic,250,Animals,,,,,
Wild Burros,"8"" x 10""",2019,Acrylic,250,Animals,,,,,
"Mystic Connecticut, Boats","11"" x 14 mat",1999,Pastels,400,Beach,,,,,
Beach Scene 2,"11"" x 14"" mat",2010,Watercolor on paper,400,Beach,,,,,
Belmar Beach,"11"" x 14"" mat",2009,Watercolor on paper,400,Beach,,,,,
Boats,"11"" x 14"" mat",1975,Graphite,75,Beach,,,,,
Island State Park Beach,"11"" x 14"" mat",2010,Watercolor on paper,400,Beach,,,,,
Mystic Connecticut Inlet,"11"" x 14"" mat",1999,Pastels,400,Beach,,,,,
Ocean City Houses,"11"" x 14"" mat",2014,Watercolor on paper,400,Beach,,,,,
Ocean City Sunrise,"11"" X 14"" mat",2014,Watercolor on paper,400,Beach,,,,,
Sunbathers,"11"" X 14"" mat",2009,Watercolor on paper,400,Beach,,,,,
Sunbathers 2,"6"" x 7.5""",2008,Watercolor,250,Beach,,,,,
Bone,"11"" x 14"" mat",1977,Ink on paper,150,Bone,,,,,
Bone Series 13,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Bone Series 15,"11"" x 14"" mat",1977,Ink on paper,150,Bone,,,,,
Bone Series 16,"11"" x 14"" mat",1977,Ink on paper,150,Bone,,,,,
Bone Series 17,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Bone Series 18,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Bone Series 19,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Bone Series XX,"11"" x 14"" mat",1977,Ink on paper,150,Bone,,,,,
Bone Series XXI,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Figure Study 1,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Figure Study 2,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Figure Study 3,"11"" x 14"" mat",1977,Mixmedia,150,Bone,,,,,
Name,Size,Year,Material,Cost unframed,Category,,,,,
"Cold River Library, Night","11"" X 14"" mat",2010,Pastels,400,Cold River Camp,,,,,
Cold River Porch,"11"" X 14"" mat",2009,Watercolor on paper,400,Cold River Camp,,,,,
CRC Cabin,"11"" X 14"" mat",2013,Watercolor on paper,400,Cold River Camp,,,,,
CRC Library 1,"11"" X 14"" mat",2010,Watercolor on paper,sold ,Cold River Camp,,,,,
CRC Library 2,"11"" X 14"" mat",2010,Watercolor on paper,400,Cold River Camp,,,,,
CRC Porch 2,"11"" X 14"" mat",2014,Watercolor on paper,sold,Cold River Camp,,,,,
CRC Vatican City,"11"" X 14"" mat",2014,Watercolor on paper,sold,Cold River Camp,,,,,
Spring Haven Exterior,"11"" x 14"" mat",2013,Watercolor on paper,sold,Cold River Camp,,,,,
Spring Haven Interior,"11"" X 14"" mat",2013,Watercolor on paper,sold,Cold River Camp,,,,,
Tea House at Cold River,"11"" X 14"" mat",2009,Watercolor on paper,400,Cold River Camp,,,,,
Path to Emerald Pool,"18"" x 24""",2016,Acrylic,1000,Cold River Camp,,,,,
Chet 1,"8"" x 10"" mat",2009,Watercolor on paper,210,Cold River Camp,,,,,
Chet 2,"8"" x 10"" mat",2009,Watercolor on paper,210,Cold River Camp,,,,,
Chet 3,"8"" x 10"" mat",2009,Watercolor on paper,210,Cold River Camp,,,,,
Cold River Field,"8"" x 10"" mat",2008,Acrylic on paper,210,Cold River Camp,,,,,
Atwood and McGuff-Silverman Collaborative Painting,"29"" x 42""",2014,Acrylic,1000,Collaborative Work,,,,,
Dad dancing 20,"5"" x 7""",2019,Acrylic,,Dad Dancing the Movie,,,,,
Dad Dancing 1,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 10,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
